article_order,article_id,article_title,category,asset_id,type,placement,filename,alt_text,aspect_ratio,prompt,required
15,C03,How to Prepare Your Cat for a Mobile Grooming Appointment,Cat Grooming,C03-V1,in_article_visual,Immediately after the first major H2 section,prepare-cat-mobile-grooming-visual-1.webp,Mobile cat grooming preparation checklist for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How to Prepare Your Cat for a Mobile Grooming Appointment”: Mobile cat grooming preparation checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
15,C03,How to Prepare Your Cat for a Mobile Grooming Appointment,Cat Grooming,C03-V2,in_article_visual,"Near the middle decision, schedule or comparison section",prepare-cat-mobile-grooming-visual-2.webp,"Home-security diagram for doors, windows and other pets for cat grooming guidance.",4:3,"Create a clean, original editorial infographic supporting “How to Prepare Your Cat for a Mobile Grooming Appointment”: Home-security diagram for doors, windows and other pets.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
16,C04,Why Cats Get Stressed During Grooming and How Professionals Reduce It,Cat Grooming,C04-FEATURED,featured_image,CMS featured image; do not insert again inside article body,cat-grooming-stress-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Why Cats Get Stressed During Grooming and How Professionals Reduce It”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
16,C04,Why Cats Get Stressed During Grooming and How Professionals Reduce It,Cat Grooming,C04-V1,in_article_visual,Immediately after the first major H2 section,cat-grooming-stress-visual-1.webp,Cat stress-sign body-language chart for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Why Cats Get Stressed During Grooming and How Professionals Reduce It”: Cat stress-sign body-language chart.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
16,C04,Why Cats Get Stressed During Grooming and How Professionals Reduce It,Cat Grooming,C04-V2,in_article_visual,"Near the middle decision, schedule or comparison section",cat-grooming-stress-visual-2.webp,Trigger → sign → response diagram for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Why Cats Get Stressed During Grooming and How Professionals Reduce It”: Trigger → sign → response diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
17,C05,Grooming a Nervous or Aggressive Cat: What Owners Should Know Before Booking,Cat Grooming,C05-FEATURED,featured_image,CMS featured image; do not insert again inside article body,grooming-nervous-aggressive-cat-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Grooming a Nervous or Aggressive Cat: What Owners Should Know Before Booking”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
17,C05,Grooming a Nervous or Aggressive Cat: What Owners Should Know Before Booking,Cat Grooming,C05-V1,in_article_visual,Immediately after the first major H2 section,grooming-nervous-aggressive-cat-visual-1.webp,Booking disclosure checklist for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Grooming a Nervous or Aggressive Cat: What Owners Should Know Before Booking”: Booking disclosure checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
17,C05,Grooming a Nervous or Aggressive Cat: What Owners Should Know Before Booking,Cat Grooming,C05-V2,in_article_visual,"Near the middle decision, schedule or comparison section",grooming-nervous-aggressive-cat-visual-2.webp,Essential care vs optional cosmetic work decision graphic for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Grooming a Nervous or Aggressive Cat: What Owners Should Know Before Booking”: Essential care vs optional cosmetic work decision graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
18,C07,Should Cats Be Bathed? When a Professional Cat Bath Is Helpful,Cat Grooming,C07-FEATURED,featured_image,CMS featured image; do not insert again inside article body,should-cats-be-bathed-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Should Cats Be Bathed? When a Professional Cat Bath Is Helpful”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
18,C07,Should Cats Be Bathed? When a Professional Cat Bath Is Helpful,Cat Grooming,C07-V1,in_article_visual,Immediately after the first major H2 section,should-cats-be-bathed-visual-1.webp,Should-my-cat-be-bathed decision tree for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Should Cats Be Bathed? When a Professional Cat Bath Is Helpful”: Should-my-cat-be-bathed decision tree.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
18,C07,Should Cats Be Bathed? When a Professional Cat Bath Is Helpful,Cat Grooming,C07-V2,in_article_visual,"Near the middle decision, schedule or comparison section",should-cats-be-bathed-visual-2.webp,Bathing vs brushing vs deshedding comparison for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Should Cats Be Bathed? When a Professional Cat Bath Is Helpful”: Bathing vs brushing vs deshedding comparison.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
19,C10,Cat Deshedding: Does It Reduce Loose Fur and Hairballs?,Cat Grooming,C10-FEATURED,featured_image,CMS featured image; do not insert again inside article body,cat-deshedding-hairballs-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Cat Deshedding: Does It Reduce Loose Fur and Hairballs?”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
19,C10,Cat Deshedding: Does It Reduce Loose Fur and Hairballs?,Cat Grooming,C10-V1,in_article_visual,Immediately after the first major H2 section,cat-deshedding-hairballs-visual-1.webp,Loose-coat → ingestion → hairball mechanism diagram for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Cat Deshedding: Does It Reduce Loose Fur and Hairballs?”: Loose-coat → ingestion → hairball mechanism diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
19,C10,Cat Deshedding: Does It Reduce Loose Fur and Hairballs?,Cat Grooming,C10-V2,in_article_visual,"Near the middle decision, schedule or comparison section",cat-deshedding-hairballs-visual-2.webp,Deshedding vs dematting vs shaving comparison for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Cat Deshedding: Does It Reduce Loose Fur and Hairballs?”: Deshedding vs dematting vs shaving comparison.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
20,D04,A Puppy’s First Grooming Appointment: When to Start and What to Expect,Dog Grooming,D04-FEATURED,featured_image,CMS featured image; do not insert again inside article body,puppy-first-grooming-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “A Puppy’s First Grooming Appointment: When to Start and What to Expect”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
20,D04,A Puppy’s First Grooming Appointment: When to Start and What to Expect,Dog Grooming,D04-V1,in_article_visual,Immediately after the first major H2 section,puppy-first-grooming-visual-1.webp,Puppy grooming-readiness checklist for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “A Puppy’s First Grooming Appointment: When to Start and What to Expect”: Puppy grooming-readiness checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
20,D04,A Puppy’s First Grooming Appointment: When to Start and What to Expect,Dog Grooming,D04-V2,in_article_visual,"Near the middle decision, schedule or comparison section",puppy-first-grooming-visual-2.webp,First-session essential-care vs cosmetic-care graphic for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “A Puppy’s First Grooming Appointment: When to Start and What to Expect”: First-session essential-care vs cosmetic-care graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
21,D03,How to Prepare Your Dog for a Mobile Grooming Appointment,Dog Grooming,D03-FEATURED,featured_image,CMS featured image; do not insert again inside article body,prepare-dog-mobile-grooming-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How to Prepare Your Dog for a Mobile Grooming Appointment”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
21,D03,How to Prepare Your Dog for a Mobile Grooming Appointment,Dog Grooming,D03-V1,in_article_visual,Immediately after the first major H2 section,prepare-dog-mobile-grooming-visual-1.webp,Mobile dog grooming preparation checklist for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How to Prepare Your Dog for a Mobile Grooming Appointment”: Mobile dog grooming preparation checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
21,D03,How to Prepare Your Dog for a Mobile Grooming Appointment,Dog Grooming,D03-V2,in_article_visual,"Near the middle decision, schedule or comparison section",prepare-dog-mobile-grooming-visual-2.webp,Booking-to-aftercare timeline for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How to Prepare Your Dog for a Mobile Grooming Appointment”: Booking-to-aftercare timeline.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
22,D05,Grooming an Anxious or Reactive Dog: Questions to Ask Before Booking,Dog Grooming,D05-FEATURED,featured_image,CMS featured image; do not insert again inside article body,grooming-anxious-reactive-dog-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Grooming an Anxious or Reactive Dog: Questions to Ask Before Booking”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
22,D05,Grooming an Anxious or Reactive Dog: Questions to Ask Before Booking,Dog Grooming,D05-V1,in_article_visual,Immediately after the first major H2 section,grooming-anxious-reactive-dog-visual-1.webp,Provider-question checklist for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Grooming an Anxious or Reactive Dog: Questions to Ask Before Booking”: Provider-question checklist.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
22,D05,Grooming an Anxious or Reactive Dog: Questions to Ask Before Booking,Dog Grooming,D05-V2,in_article_visual,"Near the middle decision, schedule or comparison section",grooming-anxious-reactive-dog-visual-2.webp,Essential vs cosmetic grooming priority diagram for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Grooming an Anxious or Reactive Dog: Questions to Ask Before Booking”: Essential vs cosmetic grooming priority diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
23,D07,"How Often Should You Bathe a Dog in Dubai? Coat, Skin and Lifestyle Factors",Dog Grooming,D07-FEATURED,featured_image,CMS featured image; do not insert again inside article body,how-often-bathe-dog-dubai-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How Often Should You Bathe a Dog in Dubai? Coat, Skin and Lifestyle Factors”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
23,D07,"How Often Should You Bathe a Dog in Dubai? Coat, Skin and Lifestyle Factors",Dog Grooming,D07-V1,in_article_visual,Immediately after the first major H2 section,how-often-bathe-dog-dubai-visual-1.webp,Dubai dog-bath schedule matrix for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Should You Bathe a Dog in Dubai? Coat, Skin and Lifestyle Factors”: Dubai dog-bath schedule matrix.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
23,D07,"How Often Should You Bathe a Dog in Dubai? Coat, Skin and Lifestyle Factors",Dog Grooming,D07-V2,in_article_visual,"Near the middle decision, schedule or comparison section",how-often-bathe-dog-dubai-visual-2.webp,Routine bath vs therapeutic bath comparison for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Should You Bathe a Dog in Dubai? Coat, Skin and Lifestyle Factors”: Routine bath vs therapeutic bath comparison.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
24,D09,Dog Dematting vs Shaving: Which Is Safer for a Severely Matted Coat?,Dog Grooming,D09-FEATURED,featured_image,CMS featured image; do not insert again inside article body,dog-dematting-vs-shaving-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Dog Dematting vs Shaving: Which Is Safer for a Severely Matted Coat?”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
24,D09,Dog Dematting vs Shaving: Which Is Safer for a Severely Matted Coat?,Dog Grooming,D09-V1,in_article_visual,Immediately after the first major H2 section,dog-dematting-vs-shaving-visual-1.webp,Non-graphic mat-severity ladder for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Dematting vs Shaving: Which Is Safer for a Severely Matted Coat?”: Non-graphic mat-severity ladder.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
24,D09,Dog Dematting vs Shaving: Which Is Safer for a Severely Matted Coat?,Dog Grooming,D09-V2,in_article_visual,"Near the middle decision, schedule or comparison section",dog-dematting-vs-shaving-visual-2.webp,Dematting vs clipping/shaving welfare matrix for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Dog Dematting vs Shaving: Which Is Safer for a Severely Matted Coat?”: Dematting vs clipping/shaving welfare matrix.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
25,D11,Double-Coated Dogs in Dubai: Grooming Needs and Why Routine Shaving Is Different,Dog Grooming,D11-FEATURED,featured_image,CMS featured image; do not insert again inside article body,double-coated-dogs-dubai-featured.webp,Dog during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Double-Coated Dogs in Dubai: Grooming Needs and Why Routine Shaving Is Different”. Subject: dog. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
25,D11,Double-Coated Dogs in Dubai: Grooming Needs and Why Routine Shaving Is Different,Dog Grooming,D11-V1,in_article_visual,Immediately after the first major H2 section,double-coated-dogs-dubai-visual-1.webp,Double-coat layer diagram for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Double-Coated Dogs in Dubai: Grooming Needs and Why Routine Shaving Is Different”: Double-coat layer diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
25,D11,Double-Coated Dogs in Dubai: Grooming Needs and Why Routine Shaving Is Different,Dog Grooming,D11-V2,in_article_visual,"Near the middle decision, schedule or comparison section",double-coated-dogs-dubai-visual-2.webp,Routine maintenance vs close shaving comparison for dog grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Double-Coated Dogs in Dubai: Grooming Needs and Why Routine Shaving Is Different”: Routine maintenance vs close shaving comparison.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
26,B03,Bird Nail Trimming: Signs of Overgrowth and When to Book Professional Care,Bird Grooming,B03-FEATURED,featured_image,CMS featured image; do not insert again inside article body,bird-nail-trimming-featured.webp,Pet bird during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Bird Nail Trimming: Signs of Overgrowth and When to Book Professional Care”. Subject: pet bird. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the bird calmly standing on a secure perch with an experienced avian professional nearby; no forceful restraint, no cutting action, no aerosol, no fragrance and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
26,B03,Bird Nail Trimming: Signs of Overgrowth and When to Book Professional Care,Bird Grooming,B03-V1,in_article_visual,Immediately after the first major H2 section,bird-nail-trimming-visual-1.webp,Normal function vs overgrowth signs diagram for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Bird Nail Trimming: Signs of Overgrowth and When to Book Professional Care”: Normal function vs overgrowth signs diagram.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
26,B03,Bird Nail Trimming: Signs of Overgrowth and When to Book Professional Care,Bird Grooming,B03-V2,in_article_visual,"Near the middle decision, schedule or comparison section",bird-nail-trimming-visual-2.webp,Grip and perch relationship illustration for pet bird grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Bird Nail Trimming: Signs of Overgrowth and When to Book Professional Care”: Grip and perch relationship illustration.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict forceful restraint, cutting action, respiratory hazards or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
27,R02,How Often Should a Rabbit Be Groomed? Short-Haired and Long-Haired Schedules,Rabbit Grooming,R02-FEATURED,featured_image,CMS featured image; do not insert again inside article body,how-often-groom-rabbit-featured.webp,Rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “How Often Should a Rabbit Be Groomed? Short-Haired and Long-Haired Schedules”. Subject: rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
27,R02,How Often Should a Rabbit Be Groomed? Short-Haired and Long-Haired Schedules,Rabbit Grooming,R02-V1,in_article_visual,Immediately after the first major H2 section,how-often-groom-rabbit-visual-1.webp,Rabbit schedule matrix by coat length and season for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Should a Rabbit Be Groomed? Short-Haired and Long-Haired Schedules”: Rabbit schedule matrix by coat length and season.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
27,R02,How Often Should a Rabbit Be Groomed? Short-Haired and Long-Haired Schedules,Rabbit Grooming,R02-V2,in_article_visual,"Near the middle decision, schedule or comparison section",how-often-groom-rabbit-visual-2.webp,Long-haired vs short-haired comparison for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “How Often Should a Rabbit Be Groomed? Short-Haired and Long-Haired Schedules”: Long-haired vs short-haired comparison.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
28,R03,"Rabbit Nail Trimming: Frequency, Overgrowth Signs and Professional Care",Rabbit Grooming,R03-FEATURED,featured_image,CMS featured image; do not insert again inside article body,rabbit-nail-trimming-featured.webp,Rabbit during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Rabbit Nail Trimming: Frequency, Overgrowth Signs and Professional Care”. Subject: rabbit. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show the rabbit calmly supported on a non-slip grooming surface; no full-water bath, no trancing, no scissors, no unsafe restraint and no medical procedure. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
28,R03,"Rabbit Nail Trimming: Frequency, Overgrowth Signs and Professional Care",Rabbit Grooming,R03-V1,in_article_visual,Immediately after the first major H2 section,rabbit-nail-trimming-visual-1.webp,Rabbit nail-check timeline for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Rabbit Nail Trimming: Frequency, Overgrowth Signs and Professional Care”: Rabbit nail-check timeline.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
28,R03,"Rabbit Nail Trimming: Frequency, Overgrowth Signs and Professional Care",Rabbit Grooming,R03-V2,in_article_visual,"Near the middle decision, schedule or comparison section",rabbit-nail-trimming-visual-2.webp,Overgrowth-sign illustration for rabbit grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Rabbit Nail Trimming: Frequency, Overgrowth Signs and Professional Care”: Overgrowth-sign illustration.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict full-water bathing, trancing, scissors, unsafe restraint or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
29,C08,Cat Haircut vs Trim vs Shave: What Is Appropriate for Different Coat Conditions?,Cat Grooming,C08-FEATURED,featured_image,CMS featured image; do not insert again inside article body,cat-haircut-vs-trim-vs-shave-featured.webp,Cat during a calm professional mobile grooming assessment in Dubai.,16:9,"Create a premium, photorealistic editorial featured image for the article “Cat Haircut vs Trim vs Shave: What Is Appropriate for Different Coat Conditions?”. Subject: cat. Setting: a clean modern Dubai home or professional mobile grooming environment, soft natural light, clean tools, calm atmosphere, realistic anatomy and coat detail. Show gentle welfare-first grooming with calm body language; no tight restraint, no visible injury, no medical procedure and no exaggerated before-and-after result. No embedded text, no logos, no watermarks. Landscape 16:9 with generous safe space for responsive cropping.",True
29,C08,Cat Haircut vs Trim vs Shave: What Is Appropriate for Different Coat Conditions?,Cat Grooming,C08-V1,in_article_visual,Immediately after the first major H2 section,cat-haircut-vs-trim-vs-shave-visual-1.webp,Haircut vs trim vs shave comparison graphic for cat grooming guidance.,4:3,"Create a clean, original editorial infographic supporting “Cat Haircut vs Trim vs Shave: What Is Appropriate for Different Coat Conditions?”: Haircut vs trim vs shave comparison graphic.. Use a simple icon-led layout, accessible contrast, generous whitespace and clear visual hierarchy. Do not render small body text; leave clean label zones so accurate wording can be added in the CMS design layer. Do not depict painful dematting, unsafe restraint, medication or medical treatment. No logos or watermarks. Aspect ratio 4:3.",True
