Source Order,Source ID,Source Slug,Anchor,Target URL,Link Type
47,T03,/threading-aftercare/,Threading Frequency Guide,https://homesalon.ae/how-often-eyebrow-threading/,supporting_article
47,T03,/threading-aftercare/,Threading at Home,https://homesalon.ae/threading/,commercial_service
47,T03,/threading-aftercare/,Threading vs Waxing for Eyebrows,https://homesalon.ae/threading-vs-waxing-eyebrows/,supporting_article
47,T03,/threading-aftercare/,How to Prepare for Threading,https://homesalon.ae/prepare-for-threading-appointment/,supporting_article
48,T04,/prepare-for-threading-appointment/,Home Salon Appointment Preparation Guide,https://homesalon.ae/prepare-home-salon-appointment/,supporting_article
48,T04,/prepare-for-threading-appointment/,Threading at Home,https://homesalon.ae/threading/,commercial_service
48,T04,/prepare-for-threading-appointment/,Threading Aftercare Guide,https://homesalon.ae/threading-aftercare/,supporting_article
49,H01,/home-salon-vs-salon-visit/,How to Prepare for a Home Salon Appointment,https://homesalon.ae/prepare-home-salon-appointment/,supporting_article
49,H01,/home-salon-vs-salon-visit/,Home Salon Hygiene Checklist,https://homesalon.ae/home-salon-hygiene-checklist/,supporting_article
49,H01,/home-salon-vs-salon-visit/,Guide to Booking Multiple Beauty Services at Home,https://homesalon.ae/multiple-beauty-services-at-home/,supporting_article
49,H01,/home-salon-vs-salon-visit/,main service website,https://homesalon.ae/,commercial_service
50,H03,/multiple-beauty-services-at-home/,Home Salon Preparation Guide,https://homesalon.ae/prepare-home-salon-appointment/,supporting_article
50,H03,/multiple-beauty-services-at-home/,main website,https://homesalon.ae/,commercial_service
50,H03,/multiple-beauty-services-at-home/,Home Salon vs Salon Visit,https://homesalon.ae/home-salon-vs-salon-visit/,supporting_article
50,H03,/multiple-beauty-services-at-home/,Home Salon Hygiene Checklist,https://homesalon.ae/home-salon-hygiene-checklist/,supporting_article
